0	92
1	60
1	24
1	23
1	65
2	92
2	41
3	92
4	92
4	86
5	92
5	15
6	92
6	54
6	44
7	92
7	54
7	69
7	44
8	92
8	57
8	98
8	87
8	69
8	78
8	14
8	46
9	92
9	10
9	21
9	37
9	66
9	86
9	88
9	93
9	15
9	44
9	77
9	81
9	97
10	92
10	21
10	86
10	93
10	79
11	23
11	40
11	67
11	37
11	77
11	82
11	83
11	84
11	85
11	97
12	92
13	82
14	60
14	92
14	57
14	98
14	87
14	69
14	78
14	46
15	92
15	21
15	41
16	82
17	92
18	42
18	37
18	72
18	27
18	28
18	29
18	30
18	31
18	32
18	38
19	92
19	21
20	92
21	92
21	66
21	88
21	36
22	50
22	68
22	24
22	23
23	60
23	92
23	48
23	50
23	68
23	24
23	86
23	93
23	73
23	44
23	79
23	37
23	40
23	45
23	72
23	77
23	82
23	83
23	96
23	97
23	56
23	80
23	65
24	60
24	48
24	50
24	68
24	86
24	65
25	92
26	55
26	92
27	42
27	72
27	28
27	29
27	30
27	31
27	32
27	38
28	42
28	72
28	30
28	38
28	32
29	42
29	72
29	30
29	38
30	42
30	72
30	31
30	32
30	38
31	42
31	72
31	38
31	32
32	42
32	72
33	92
33	86
34	92
35	92
35	66
35	96
36	92
37	92
37	67
37	72
37	77
37	82
37	83
37	84
37	85
37	96
37	97
38	72
39	92
40	60
40	92
40	86
40	93
40	87
40	66
40	77
40	96
40	80
41	92
42	72
43	92
43	87
43	61
43	44
44	92
44	54
44	69
44	45
45	92
45	79
46	60
46	92
46	57
46	98
46	87
46	69
46	78
47	92
47	87
48	60
48	92
48	50
48	87
48	68
48	56
49	92
49	71
50	60
50	86
50	87
50	68
50	56
50	80
51	92
52	92
53	92
54	92
55	92
55	86
56	92
56	68
57	60
57	92
57	87
57	69
57	78
57	98
57	61
58	92
59	92
60	87
60	93
60	68
60	67
60	80
60	65
61	92
61	69
62	92
63	92
64	92
66	92
66	76
67	92
67	93
67	87
67	77
67	82
68	92
68	87
68	88
69	92
69	98
69	87
69	78
70	92
71	92
71	76
72	92
72	87
72	82
72	83
72	96
74	92
75	92
76	92
76	86
76	87
77	92
77	87
77	82
77	83
77	84
77	85
77	96
77	97
78	92
79	92
80	92
80	86
80	93
80	87
81	92
82	92
82	86
82	83
82	84
82	85
82	91
82	95
82	96
82	97
83	92
83	96
83	97
84	92
84	86
84	85
84	96
84	97
85	92
85	86
85	96
86	92
86	88
86	93
86	91
87	92
87	96
88	92
89	92
90	92
91	92
92	93
92	98
92	95
92	96
92	97
92	99
92	94
96	97
